STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_CDIR_ECFRMV,Index for Risk Management; Vulnerability,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T10,Score 0-10,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,7.6,IMF_CDIR,Climate-driven INFORM Risk,0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_CDIR_ECFRMV,Index for Risk Management; Vulnerability,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T10,Score 0-10,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,1.8,IMF_CDIR,Climate-driven INFORM Risk,0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DZA,Algeria,IMF_CDIR_ECFRMV,Index for Risk Management; Vulnerability,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T10,Score 0-10,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,2.9,IMF_CDIR,Climate-driven INFORM Risk,0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,IMF_CDIR_ECFRMV,Index for Risk Management; Vulnerability,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T10,Score 0-10,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,5.0,IMF_CDIR,Climate-driven INFORM Risk,0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ATG,Antigua and Barbuda,IMF_CDIR_ECFRMV,Index for Risk Management; Vulnerability,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T10,Score 0-10,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,1.9,IMF_CDIR,Climate-driven INFORM Risk,0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,IMF_CDIR_ECFRMV,Index for Risk Management; Vulnerability,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T10,Score 0-10,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,1.5,IMF_CDIR,Climate-driven INFORM Risk,0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,IMF_CDIR_ECFRMV,Index for Risk Management; Vulnerability,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T10,Score 0-10,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,2.9,IMF_CDIR,Climate-driven INFORM Risk,0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,IMF_CDIR_ECFRMV,Index for Risk Management; Vulnerability,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T10,Score 0-10,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,1.8,IMF_CDIR,Climate-driven INFORM Risk,0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,IMF_CDIR_ECFRMV,Index for Risk Management; Vulnerability,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T10,Score 0-10,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,2.1,IMF_CDIR,Climate-driven INFORM Risk,0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,IMF_CDIR_ECFRMV,Index for Risk Management; Vulnerability,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T10,Score 0-10,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,4.9,IMF_CDIR,Climate-driven INFORM Risk,0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
